task,phase,run,tag,n_trials,mean_reward,trial_rewards,notes
exceltable-in-ppt,baseline-10task,run_baseline,seed,3,0.000,"[0.000,0.000,0.000]",
financial-modeling-qa,baseline-10task,run_baseline,seed,3,0.000,"[0.000,0.000,0.000]",
invoice-fraud-detection,baseline-10task,run_baseline,seed,3,1.000,"[1.000,1.000,1.000]",
offer-letter-generator,baseline-10task,run_baseline,seed,3,0.000,"[0.000,0.000,0.000]",
sales-pivot-analysis,baseline-10task,run_baseline,seed,3,0.000,"[0.000,0.000,0.000]",
weighted-gdp-calc,baseline-10task,run_baseline,seed,3,0.000,"[0.000,0.000,0.000]",
xlsx-recover-data,baseline-10task,run_baseline,seed,3,0.000,"[0.000,0.000,0.000]",
3d-scan-calc,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,1.000,"[1.000]",
ada-bathroom-plan-repair,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
adaptive-cruise-control,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,1.000,"[1.000]",
azure-bgp-oscillation-route-leak,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
bike-rebalance,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
citation-check,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
civ6-adjacency-optimizer,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
court-form-filling,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,1.000,"[1.000]",
crystallographic-wyckoff-position-analysis,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
dapt-intrusion-detection,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
data-to-d3,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
debug-trl-grpo,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
dialogue-parser,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
drone-planning-control,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
dynamic-object-aware-egomotion,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
earthquake-phase-association,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
earthquake-plate-calculation,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
econ-detrending-correlation,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
edit-pdf,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
energy-ac-optimal-power-flow,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
energy-market-pricing,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
energy-unit-commitment,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
enterprise-information-search,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
exam-block-sequencing,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
exceltable-in-ppt,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
exoplanet-detection-period,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
financial-modeling-qa,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
fix-build-agentops,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
fix-build-google-auto,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
fix-druid-loophole-cve,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
fix-erlang-ssh-cve,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
fix-visual-stability,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
flink-query,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
flood-risk-analysis,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
glm-lake-mendota,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
gravitational-wave-detection,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
grid-dispatch-operator,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
hvac-control,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,1.000,"[1.000]",
invoice-fraud-detection,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
jax-computing-basics,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
jpg-ocr-stat,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
lab-unit-harmonization,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
lake-warming-attribution,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
latex-formula-extraction,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
lean4-proof,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
llm-prefix-cache-replay,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
manufacturing-codebook-normalization,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
manufacturing-equipment-maintenance,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
manufacturing-fjsp-optimization,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
mario-coin-counting,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
mars-clouds-clustering,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
multilingual-video-dubbing,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,1.000,"[1.000]",
offer-letter-generator,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
organize-messy-files,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
paper-anonymizer,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
parallel-tfidf-search,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
paratransit-routing,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
pddl-airport-planning,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
pddl-tpp-planning,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
pdf-excel-diff,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
powerlifting-coef-calc,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
pptx-reference-formatting,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
protein-expression-analysis,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
python-scala-translation,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
quantum-numerical-simulation,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
r2r-mpc-control,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
radar-vital-signs,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
react-performance-debugging,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
reserves-at-risk-calc,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
sales-pivot-analysis,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
sec-financial-report,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
seismic-phase-picking,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
setup-fuzzing-py,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
shock-analysis-demand,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
shock-analysis-supply,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
simpo-code-reproduction,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
software-dependency-audit,all87-broken-wiring,run_all87_iter7_v2_KILLED_11pct_errors,seed,1,0.000,"[0.000]",infra-error class (excluded from runnable subset)
